Date,3m8ox4pDb7,3m8ox4pDbC,3m8ox4pDbE,3m8ox4pUeB,3m8ox4pUeC,3m8ox4pUeF,3m8ox4plhC,3m8ox4plhE,3m8ox4plhH
2017-11-18,-0.5999999999999999,0.7200000000000001,0.009999999999999787,0.63,-2.09,1.5099999999999998,-1.0,-3.2399999999999998,0.5900000000000001
2017-11-24,-0.6199999999999999,0.7400000000000002,0.09000000000000008,0.85,-1.9000000000000004,1.3399999999999999,-0.8800000000000001,-3.5099999999999993,0.3600000000000001
2017-11-30,-0.32999999999999996,0.8200000000000003,0.4200000000000001,1.5700000000000003,-1.6800000000000004,2.24,-1.0000000000000002,-4.860000000000001,0.9200000000000005
2017-12-06,-0.5800000000000001,0.6899999999999998,0.22999999999999995,1.58,-1.3900000000000003,2.56,-0.8500000000000001,-4.47,0.6400000000000001
2017-12-12,-0.7100000000000002,0.6299999999999999,-0.17000000000000004,2.16,-1.4300000000000006,2.9099999999999997,-0.5199999999999999,-4.45,0.3899999999999999
2017-12-18,-0.57,0.5999999999999999,-0.2599999999999998,2.21,-1.2800000000000002,2.9699999999999998,-0.7900000000000001,-3.6700000000000004,0.5700000000000001
2017-12-24,-0.7300000000000001,0.2599999999999999,-0.03999999999999958,1.64,-1.3900000000000003,2.3399999999999994,-0.6700000000000002,-3.7500000000000004,0.28999999999999987
2017-12-30,-0.5799999999999998,0.93,5.551115123125783e-17,2.21,-0.7499999999999998,3.36,-0.2699999999999999,-3.5600000000000005,0.7999999999999999
2018-01-05,-0.5,0.9699999999999999,-0.050000000000000044,1.62,-0.8099999999999999,3.01,-0.20999999999999996,-3.6100000000000003,1.13
2018-01-11,-0.57,0.8399999999999999,0.2899999999999998,1.4400000000000002,-0.74,2.77,-0.4000000000000002,-3.27,0.7599999999999997
2018-01-17,-0.5199999999999999,1.12,0.44999999999999984,1.840000000000001,-0.6499999999999997,2.69,-0.32999999999999996,-2.9699999999999998,1.1700000000000002
