Date,3m8ox52Pxs,3m8ox52Pxx,3m8ox52Pxy,3m8ox52Py3,3m8ox52h0o,3m8ox52h0p,3m8ox52h0r,3m8ox52h0u,3m8ox52h0z,3m8ox52h10,3m8ox52h14,3m8ox52h15,3m8ox52y3s,3m8ox52y3t,3m8ox52y3w,3m8ox52y41,3m8ox52y42,3m8ox53F6t,3m8ox53F6w,3m8ox53F6x,3m8ox53F7A
2019-03-31,1.2,3.4500000000000006,0.32999999999999974,0.8500000000000002,-7.280000000000001,-1.3100000000000005,6.24,3.4500000000000006,1.07,-1.3900000000000003,-2.33,-1.1400000000000003,3.74,8.36,9.12,0.8600000000000001,-0.38,11.08,-5.46,-7.1000000000000005,3.2500000000000004
2019-04-06,1.53,3.560000000000001,0.38,1.2400000000000002,-7.36,-1.2,6.800000000000001,3.680000000000001,1.2000000000000002,-1.38,-2.58,-1.09,3.6500000000000004,8.55,9.18,0.8700000000000003,-0.1599999999999996,11.450000000000001,-5.289999999999999,-7.109999999999999,3.2700000000000005
2019-04-12,1.7599999999999998,3.0900000000000003,0.8900000000000005,2.8200000000000003,-7.05,-1.0900000000000003,6.89,3.720000000000001,1.0000000000000002,-1.0299999999999998,-3.4999999999999996,-1.2000000000000004,3.41,8.850000000000001,9.15,0.8200000000000004,-0.03999999999999959,11.31,-5.5,-7.31,3.24
2019-04-18,2.2600000000000002,2.48,0.15000000000000005,4.07,-6.59,-0.9299999999999999,6.760000000000001,4.140000000000001,0.52,-1.71,-3.44,-0.4399999999999996,2.91,8.81,9.46,0.6300000000000002,-0.63,10.5,-5.720000000000001,-7.43,3.29
2019-04-24,2.17,1.3300000000000003,0.03000000000000036,4.6499999999999995,-6.599999999999999,-0.9,6.7299999999999995,4.08,-0.14999999999999974,-1.7999999999999998,-2.7600000000000007,-1.35,3.0800000000000005,8.850000000000001,9.88,-0.009999999999999884,-0.7899999999999998,10.670000000000002,-5.320000000000001,-7.429999999999999,3.12
2019-04-30,2.46,0.8600000000000008,0.3700000000000003,4.979999999999999,-6.409999999999999,-0.6800000000000002,7.289999999999999,4.32,-0.8399999999999999,-1.83,-3.14,-1.13,3.5,8.82,10.31,-0.6200000000000001,-1.52,10.840000000000002,-5.550000000000002,-7.409999999999999,3.2400000000000007
2019-05-06,2.79,0.8600000000000009,0.03999999999999998,5.02,-6.819999999999999,-0.7800000000000002,7.270000000000001,4.359999999999999,-1.0699999999999998,-1.9200000000000004,-2.2800000000000002,-0.5700000000000001,3.79,8.63,10.05,-0.5299999999999998,-1.9700000000000002,10.89,-6.170000000000002,-7.699999999999999,3.0500000000000003
2019-05-12,3.07,1.1400000000000003,-0.0500000000000001,6.2,-7.17,-1.0400000000000003,7.73,4.779999999999999,-1.1400000000000001,-2.1600000000000006,-2.26,-0.27000000000000013,4.33,8.75,10.27,-1.1300000000000003,-3.0000000000000004,10.660000000000002,-6.070000000000002,-7.81,3.09
2019-05-18,3.6899999999999995,0.8400000000000001,-0.14999999999999997,6.640000000000001,-6.590000000000002,-0.8699999999999999,7.910000000000002,5.140000000000001,-0.9800000000000001,-2.0400000000000005,-2.34,0.030000000000000027,2.94,8.940000000000001,10.72,-0.9800000000000001,-2.7399999999999998,10.580000000000002,-6.050000000000002,-7.6899999999999995,3.55
2019-05-24,3.9399999999999995,0.8400000000000001,-0.22000000000000014,6.76,-6.6800000000000015,-0.8400000000000004,8.070000000000002,5.45,-0.9000000000000001,-2.1,-2.81,0.11999999999999983,3.8200000000000007,9.240000000000002,10.9,-0.8799999999999999,-2.7199999999999998,10.400000000000002,-5.85,-7.66,3.4099999999999997
2019-05-30,4.659999999999999,1.3100000000000003,0.7900000000000003,7.26,-6.42,0.24000000000000019,8.97,6.1499999999999995,-0.49,-1.3400000000000003,-1.8100000000000003,0.7300000000000001,4.600000000000001,9.89,11.629999999999999,-0.55,-2.48,11.430000000000001,-5.06,-7.180000000000001,4.21
